suite,module,test,ok,status,detail,timestamp
smoke-suite-api,auth,login admin,PASS,201,"{""data"":{""user"":{""id"":""6d58e424-0eb9-4521-98b3-4392704f5c0b"",""email"":""admin@en1090.it"",""passwordHash"":""$2a$10$dbG3gswkI9ZAD/p0isCYx.XB0goe7XOsSlB8cjTsm.n.6utwhWwGG"",""firstName"":""Ad",2026-04-07T15:29:46.668Z
smoke-suite-api,auth,refresh token,PASS,201,"{""data"":{""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2ZDU4ZTQyNC0wZWI5LTQ1MjEtOThiMy00MzkyNzA0ZjVjMGIiLCJlbWFpbCI6ImFkbWluQGVuMTA5MC5pdCIsIn",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,create,PASS,201,"{""data"":{""id"":8,""codice"":""SMK766903"",""titolo"":null,""cliente"":""Smoke Client"",""descrizione"":null,""responsabile"":null,""luogo"":null,""note"":null,""dataApertura"":""2026-04-07T15:29:28.397Z",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,blocking IN_CORSO without prereq,PASS,400,"{""statusCode"":400,""path"":""/commesse/8"",""timestamp"":""2026-04-07T15:29:28.616Z"",""message"":{""message"":""Per passare IN_CORSO e obbligatoria la data inizio."",""error"":""Bad Requ",2026-04-07T15:29:46.668Z
smoke-suite-api,piani-controllo,create,PASS,201,"{""data"":{""id"":5,""commessaId"":8,""fase"":""Taglio"",""controlliRichiesti"":[{""codice"":""VT"",""descrizione"":""Controllo visivo""}],""esito"":""IN_ATTESA"",""",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,blocking missing lotto,PASS,400,"{""statusCode"":400,""path"":""/materiali"",""timestamp"":""2026-04-07T15:29:29.104Z"",""message"":{""message"":""Il campo lotto e obbligatorio."",""error"":""Bad Reques",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,blocking invalid norma/tipo,PASS,400,"{""statusCode"":400,""path"":""/materiali"",""timestamp"":""2026-04-07T15:29:29.107Z"",""message"":{""message"":""Per tipo acciaio la norma deve essere EN 10025, EN ",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,create,PASS,201,"{""data"":{""id"":6,""commessaId"":8,""codice"":""MAT766903"",""descrizione"":""Piastra"",""tipo"":""acciaio"",""norma"":""EN10025"",""certificato31"":""CERT-766903"",""heatNumb",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,update IN_CORSO with prereq,PASS,200,"{""data"":{""id"":8,""codice"":""SMK766903"",""titolo"":null,""cliente"":""Smoke Client"",""descrizione"":null,""responsabile"":null,""luogo"":null,""note"":null,",2026-04-07T15:29:46.668Z
smoke-suite-api,tracciabilita,blocking missing riferimentoDisegno,PASS,400,"{""statusCode"":400,""path"":""/tracciabilita"",""timestamp"":""2026-04-07T15:29:30.400Z"",""message"":{""message"":""Il riferimento disegno e obbligatorio per la tracciabilit",2026-04-07T15:29:46.668Z
smoke-suite-api,tracciabilita,create,PASS,201,"{""data"":{""id"":6,""commessaId"":8,""materialeId"":6,""posizione"":""A1"",""quantita"":""1"",""descrizioneComponente"":null,""riferimentoDisegno"":""DWG-766903",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,blocking delete referenced,PASS,400,"{""statusCode"":400,""path"":""/materiali/6"",""timestamp"":""2026-04-07T15:29:31.302Z"",""message"":{""message"":""Impossibile eliminare il materiale: e collegato a",2026-04-07T15:29:46.668Z
smoke-suite-api,checklist,blocking COMPLETATA without esito/note/allegati,PASS,400,"{""statusCode"":400,""path"":""/checklist"",""timestamp"":""2026-04-07T15:29:31.358Z"",""message"":{""message"":""Il campo fase e obbligatorio."",""error"":""Bad Request"",""statusCode"":400}}",2026-04-07T15:29:46.668Z
